,quantity,revenue,order_count,temperature_mean,humidity_mean,rainfall,high_drought_days
quantity,1.0,0.9486,0.9062,-0.0783,0.3341,0.1031,-0.2595
revenue,0.9486,1.0,0.8214,-0.0637,0.2744,0.0889,-0.2089
order_count,0.9062,0.8214,1.0,0.0608,0.2255,-0.0136,-0.1716
temperature_mean,-0.0783,-0.0637,0.0608,1.0,-0.7,-0.5793,0.6235
humidity_mean,0.3341,0.2744,0.2255,-0.7,1.0,0.6965,-0.6622
rainfall,0.1031,0.0889,-0.0136,-0.5793,0.6965,1.0,-0.4121
high_drought_days,-0.2595,-0.2089,-0.1716,0.6235,-0.6622,-0.4121,1.0
